1100,1868
1222,788
777,694
367,160
1397,422
625,910
1750,508
828,992
532,526
778,716
671,1553
817,1381
1719,387
410,1274
1204,372
1229,1488
1803,779
559,297
1466,948
1188,539
1279,162
1031,630
746,991
936,1691
1605,798
353,756
1549,1561
1214,422
549,1179
301,219
1146,66
903,1839
1870,66
1815,359
742,1184
541,928
1034,1770
1121,1102
724,468
293,740
1089,826
196,1699
684,1397
1168,1286
1486,572
26,1765
77,1189
1665,683
1379,974
1353,669
1165,484
220,1302
1829,838
937,632
1197,1594
1116,11
909,779
1239,639
1024,149
1484,1010
1335,1416
257,406
1207,1020
3,11
1987,528
910,1185
252,1592
1538,1970
19,1235
371,1978
834,540
1944,167
854,1957
1909,505
1065,1519
1866,1768
812,1717
846,1732
1963,216
104,775
1219,866
1550,1666
435,285
16,286
413,815
898,196
1455,734
1667,1666
1521,266
1942,698
440,79
1227,818
348,474
1161,1845
529,431
452,1837
177,625
541,546
1339,358
1346,378
88,1721
1802,65
50,1634
765,151
1038,1555
1240,1528
1949,718
318,1625
234,1226
114,650
1995,967
397,1697
1972,1668
1131,594
1916,1006
1410,701
1216,1237
1465,150
1826,1287
1918,1179
283,687
481,842
2,636
44,820
1813,923
177,1705
1367,1077
1441,1385
348,1893
368,1542
1401,124
1731,171
335,1550
1500,1692
612,1278
1238,1577
909,1563
1773,1053
640,1167
213,776
1655,1618
1200,1945
553,1630
1554,1707
1546,1812
755,461
295,437
799,1043
80,1754
1519,1044
120,535
312,1546
1882,1400
79,580
660,40
1863,783
752,782
689,1756
1212,1848
1009,434
1175,1135
127,48
136,1855
725,1432
202,1480
1518,487
1375,1640
926,951
694,1958
704,337
1367,196
957,871
1765,108
517,101
1506,1817
527,845
105,1815
713,311
1838,510
1812,1336
959,464
1205,1830
1291,975
1169,1078
322,660
106,148
908,224
1040,831
454,1913
1260,264
576,306
1969,480
406,865
326,381
1670,854
257,13
963,1932
1980,1508
336,1352
1152,1005
1495,1026
769,41
1617,1522
644,330
588,1127
857,515
1700,1084
829,1854
395,1433
336,682
1006,139
1064,433
235,1798
788,1377
1064,828
1855,150
743,292
1359,623
1077,1480
244,532
73,1384
1877,1250
1679,253
1045,521
920,1247
1270,304
862,1388
1541,987
1929,403
1362,810
185,1230
1308,1182
1581,752
1556,1702
1899,1890
1233,1351
1757,1319
587,1812
708,1142
821,1297
879,1883
1635,1800
1039,1015
844,1377
369,150
354,122
1663,468
1806,256
1270,996
1984,1850
