1600,1042
131,356
1616,1165
411,591
321,1934
1768,1046
744,890
90,1937
561,356
811,1114
1537,1860
1179,1889
996,1659
433,284
709,517
1402,42
1684,275
1498,36
478,800
162,1872
624,218
874,1279
711,345
1259,8
1027,1151
593,1259
983,761
509,1346
1126,472
1753,341
1522,1132
430,412
539,1694
720,174
1124,1121
907,1643
456,1710
1325,1819
1421,1449
67,1314
1735,155
791,1988
515,1849
851,1684
253,1299
1594,902
946,159
1645,1309
1322,942
915,538
1052,1498
57,1256
1881,1708
1096,1192
1420,386
1485,71
1102,1113
471,1465
54,1050
1761,1588
1090,1598
1278,502
1123,1918
661,1282
1017,705
489,1033
65,220
679,469
1533,357
1895,1536
15,1452
1094,713
1485,711
379,1849
72,1907
1787,1512
599,442
478,1461
1373,1114
1527,1686
147,1083
471,559
1861,790
1575,1211
793,743
726,577
1576,1152
342,1358
845,1520
782,1330
243,732
868,1684
1794,1257
656,1128
1008,1194
913,1866
276,1231
1779,278
65,1562
521,1846
1213,1176
1629,1614
29,128
783,696
55,1742
271,702
1936,645
1320,666
932,911
638,100
629,1223
607,1836
773,999
238,1431
1724,1040
1547,1038
271,1445
520,1857
432,1181
1179,588
1490,934
1577,1300
1640,666
1085,1121
1029,1380
1280,335
361,784
1184,1258
662,1008
830,1386
152,413
1805,1008
762,1161
291,282
436,1324
1135,410
1186,1198
91,1144
1060,131
1042,328
61,1022
1154,1997
515,898
1198,680
1646,1823
1891,1341
1019,843
869,1048
1419,254
1522,1100
1645,199
78,707
1825,523
1151,208
1432,601
1707,1240
1535,442
1696,1140
96,1071
1902,96
1326,1307
12,1910
443,1678
1580,591
1996,1205
1030,1527
700,1533
992,947
1013,485
632,688
1269,1334
146,217
492,1607
1921,1305
933,1695
1559,527
1282,1211
1082,530
499,1321
1069,25
1936,754
279,644
551,1424
1123,1431
239,492
586,145
685,230
1956,1130
1217,1823
575,1301
1498,1100
259,914
1125,95
1327,644
1493,1904
1695,658
296,925
1488,494
1828,413
6,225
430,744
66,449
900,1213
215,1772
1584,1163
1652,1827
92,1147
1644,559
589,426
568,417
161,189
808,1896
601,35
1692,1249
1412,872
975,1239
1579,229
1894,1269
815,1535
1749,1527
1325,867
1978,1652
1405,1410
109,1667
838,1849
855,371
1128,1892
60,182
1482,1040
248,1349
649,1711
431,137
165,128
1368,1098
453,144
224,1103
1968,157
1476,1799
1707,874
47,105
1342,722
222,272
480,1521
344,825
667,39
85,1846
1358,1253
768,1219
1639,693
48,1418
1801,280
17,1963
1102,12
1252,1638
1242,129
1378,527
573,1612
944,531
383,563
1839,769
1740,1980
1105,1418
71,956
1891,868
839,210
1927,1897
223,547
1884,1503
1672,84
1930,1576
1177,1014
1577,915
1740,1194
133,514
1993,1774
1273,934
119,1713
430,1180
1718,1306
89,1248
173,1967
1087,506
376,259
502,1927
1564,1537
1439,518
72,1439
1887,689
37,1921
58,1682
254,1723
683,87
309,1574
1788,1537
700,1160
232,1345
575,1584
1943,500
1217,864
861,814
1642,232
787,1595
1271,1608
162,629
1951,733
389,1956
905,1264
537,300
1788,588
455,1243
1491,1559
535,886
434,1998
277,778
995,887
447,174
1901,323
1650,313
1485,929
1938,408
1431,1659
1156,1956
1749,1694
1157,1443
71,1875
880,1029
738,1873
550,258
1990,164
863,509
153,1896
1977,1726
693,260
790,1356
1277,1163
744,104
872,1877
968,429
358,1764
275,388
1513,1406
1905,476
503,553
1487,1479
176,338
451,1675
54,81
1827,946
702,1782
149,1471
1067,1149
1837,1782
730,476
391,1962
141,1175
1641,291
839,1498
1883,1808
693,459
1419,90
1565,1414
1664,146
921,1370
632,1482
1046,1841
1155,1973
305,1645
1530,1064
1273,750
1775,39
165,77
885,245
1651,82
1055,578
1555,648
787,1
346,672
1468,1243
1072,353
1330,1581
172,412
1559,922
1828,31
1479,1910
626,1571
204,19
705,1402
1861,1900
1721,1484
1780,867
1019,1527
1403,1689
1405,1727
1673,1693
1862,840
1749,970
1956,707
1564,846
1046,173
1242,1311
226,1364
806,103
40,1353
944,1579
286,565
1027,12
1184,1054
36,568
1904,269
1492,257
1403,201
822,1599
1790,1538
618,1541
1012,1917
142,1341
1668,1832
1414,1862
924,1746
203,1170
154,229
1057,1968
194,755
1101,627
1478,1894
869,1986
1786,1254
412,1664
1119,715
290,1995
939,1158
579,455
675,350
1147,99
1123,1578
894,1447
1947,920
1591,1558
1934,180
379,1912
1502,1821
1083,693
996,1455
1504,1083
1177,329
1686,301
1389,1623
475,1710
1572,308
1293,1720
790,1664
1008,1629
476,1564
849,1310
162,1791
285,711
1545,567
1859,502
274,1272
723,362
1615,1256
430,1086
1365,553
1816,1881
887,1383
503,1841
940,2
794,1564
1588,847
624,1927
1925,622
1867,1347
1096,427
744,233
9,1573
635,702
548,1310
254,321
1372,293
1381,1641
1715,1174
370,1093
1340,1762
652,475
1805,125
994,649
1842,907
494,1506
375,491
1723,1876
1459,324
1710,692
827,1396
1602,1110
1760,916
1964,249
1142,1603
620,1724
98,1735
815,62
1060,1410
83,471
1808,972
1125,915
902,1493
1923,1900
23,1285
1341,998
1491,284
1203,1380
709,1701
1187,408
1869,412
1048,154
822,1419
1729,1325
927,1382
840,1002
907,543
1443,1540
520,1624
1074,254
1672,64
256,855
933,415
287,878
1658,1654
311,968
1523,482
142,331
346,1170
1764,1177
1503,765
197,1735
1557,102
467,365
985,1470
1730,181
1055,1419
1400,207
884,272
1939,1158
1729,1292
501,415
1129,731
205,1289
1685,416
530,1389
434,1090
690,153
1066,893
1398,1495
195,1037
373,1833
1141,1722
1543,1105
158,849
118,791
433,587
1445,1255
1702,95
1282,1186
1712,1980
385,82
577,457
634,1498
961,1471
142,500
1256,529
427,542
979,1701
1130,962
486,1408
1733,1125
1798,808
974,1460
1734,1159
1772,242
357,7
562,435
1688,1600
1533,939
560,1936
92,1389
258,1047
818,879
200,1115
641,1196
499,3
99,685
890,1988
515,1910
1446,274
1577,1368
1472,589
1592,1481
139,1780
1464,954
396,837
1119,1586
935,166
1934,1458
65,1252
1787,352
251,1126
430,1221
218,1398
507,966
1542,922
1885,1545
1409,803
1991,1999
966,1841
302,205
1099,246
41,1328
62,695
1592,211
1694,930
686,1111
46,1689
566,1511
1431,94
1783,772
668,863
1138,1380
999,1481
897,1246
805,985
28,1217
1016,1115
565,398
1249,849
1394,918
1707,1568
1078,602
906,295
1624,1806
632,703
591,545
940,1995
130,536
1437,46
831,1650
1593,1880
1092,1777
594,331
231,8
1281,226
1726,1585
1881,710
156,1641
1849,836
191,1256
917,1533
288,1177
1615,440
417,751
670,781
192,908
1774,1549
800,1829
1824,128
1288,1063
500,1460
1173,1749
330,106
152,486
947,1340
795,321
462,944
1919,316
659,1543
1515,787
893,181
914,593
1919,968
60,255
667,1867
8,577
13,353
12,1587
1879,197
141,960
1237,208
1453,989
871,523
849,1899
324,1648
1848,23
1005,288
1824,908
38,335
239,640
101,432
227,746
610,706
1720,1307
1108,867
8,1327
1203,1588
652,1194
1649,1113
1327,1170
1047,1781
1044,342
20,5
1941,1801
1172,469
1054,1128
869,574
843,754
1634,710
855,1831
1714,74
1155,1570
1332,1115
1577,102
978,599
1568,616
1334,659
186,1386
1526,1603
744,1183
228,61
1137,1070
314,735
960,87
1872,1867
896,835
1461,1637
1003,1737
1772,1902
803,1530
159,926
1150,1866
653,255
1900,569
1250,21
1683,652
1814,1171
215,361
1385,197
1180,1915
1223,653
560,1107
381,204
958,5
785,1758
1106,1355
201,1973
1657,147
418,1521
274,587
538,542
72,859
608,1929
1854,1215
1434,1217
819,1882
457,749
407,1193
782,1996
1808,1194
1784,420
1837,1438
306,312
172,26
1184,1643
1522,417
259,1312
1871,1762
1794,1914
1430,670
1913,608
589,507
1352,18
1044,1933
1804,1980
1887,174
1051,1650
286,1130
1584,446
1891,1646
163,1221
830,1047
205,670
1982,1218
7,1583
1342,1205
1555,878
1103,220
48,277
1425,1462
1962,1469
372,105
1345,15
1775,355
11,313
1568,1536
599,212
707,1031
1897,1133
132,443
702,1144
1685,1710
1836,607
1192,156
1845,745
1301,1344
1309,435
1940,1892
499,1802
1386,1472
1142,1774
1607,7
902,34
22,1103
591,186
1664,772
479,1418
628,385
1139,1172
455,743
1217,1119
1938,1481
1467,1728
1332,1065
1075,142
818,102
1404,1192
1845,1912
1112,499
81,34
1960,323
33,985
1875,1465
1157,1403
1389,902
1816,1565
1491,950
701,125
334,835
1737,1434
896,1698
797,1201
1503,241
21,988
352,525
976,1576
1069,575
1504,1730
993,1698
1329,891
495,1731
1643,1734
1967,1198
223,1818
1235,456
1844,1638
186,1068
949,360
200,1473
1533,1196
1361,1739
505,1387
510,1374
370,533
1872,549
890,1366
1231,1465
1428,215
363,1059
705,1582
1649,575
567,1052
698,270
35,814
294,1596
1256,1773
228,887
1296,63
1983,1712
1448,1877
548,841
294,1474
584,35
538,1485
602,850
1023,1285
1464,195
1394,1591
632,851
